,0,1,2,3,4,5,6,7,8,9,10,11
0,378.4433238506317,394.2388939857483,521.1173474788666,374.4345703125,526.5605823993683,523.6400671005249,541.9018123149872,541.5379931926727,531.1422531604767,375.3481910228729,491.8017334938049,383.7128813266754
1,379.9942932128906,390.2157852649689,509.6532003879547,376.5066356658936,527.8404879570007,525.6699552536011,542.7936069965363,534.0192053318024,528.1688530445099,375.9225454330444,492.46324133872986,391.72974586486816
2,378.4989459514618,388.9324584007263,511.0356111526489,387.3024442195892,528.7267959117889,522.0895817279816,539.7458109855652,533.4017522335052,526.6706643104553,374.1563894748688,490.5385980606079,381.1428256034851
3,388.6881544589996,383.1439802646637,507.2841453552246,398.0156545639038,528.1509728431702,524.5696933269501,503.6890811920166,531.4666993618011,527.2197988033295,372.8231794834137,493.7791738510132,383.8569312095642
4,382.9123337268829,384.2763197422028,501.721417427063,400.5828151702881,526.8058342933655,522.8144779205322,477.0541262626648,512.996910572052,527.0720665454865,374.0677657127381,493.1100444793701,383.0641345977783
5,376.1832592487335,381.07604026794434,504.3198475837708,396.6366138458252,529.5907678604126,523.5554196834564,475.9150314331055,508.0889880657196,528.4472515583038,377.6662266254425,493.6787130832672,382.4778370857239
6,376.2440993785858,377.11619997024536,515.750123500824,395.20429039001465,528.3175389766693,524.2063920497894,515.3425827026367,508.8242106437683,528.8362550735474,373.7071025371552,490.532586812973,383.52757954597473
7,376.72666239738464,378.6293406486511,521.8764274120331,397.26509261131287,528.6038403511047,527.9179272651672,519.7851240634918,506.9144022464752,527.3514575958252,375.9068229198456,494.62615609169006,383.0873055458069
8,379.2001268863678,375.2819528579712,524.4357101917267,396.52578115463257,526.6451497077942,524.9389612674713,476.4340445995331,506.1388158798218,526.0417857170105,374.0147168636322,492.0262246131897,382.1141481399536
9,387.7913413047791,377.0117433071137,516.1792826652527,395.3538191318512,530.57053399086,524.8279395103455,474.753753900528,509.1496922969818,523.1927444934845,373.3905651569367,496.5076870918274,383.1740188598633
