,0
0,0.8610800536672629
1,0.8133944543828264
2,0.7246198568872988
3,0.8385509838998211
4,0.7722495527728086
5,0.7939400715563506
6,0.7105881037567083
7,0.8530858676207513
8,0.6769901610017889
9,0.6124217352415027
10,0.7333966905187835
11,0.6632938282647585
12,0.6014646690518783
13,0.739154740608229
14,0.5612701252236136
15,0.8350849731663685
16,0.8157983005366727
17,0.7172406082289804
18,0.7374776386404294
19,0.6937611806797853
20,0.8423524150268337
21,0.762969588550984
22,0.6065518783542039
23,0.8793604651162791
