,0
0,0.6082587954680978
1,0.7775491949910555
2,0.49761478831246275
3,0.7871794871794872
4,0.7389385807990458
5,0.7732259988073942
6,0.7576326774001192
7,0.8128205128205128
8,0.7200655933214073
9,0.6696779964221824
10,0.6937984496124031
11,0.6600178890876565
12,0.7032796660703637
13,0.7190220632081097
14,0.6329159212880143
15,0.7996720333929637
16,0.7344663088849135
17,0.7754025044722719
18,0.5112104949314251
19,0.7194394752534288
20,0.7069469290399524
21,0.5820810971973762
22,0.5813059033989266
23,0.7671138938580799
