,0
0,0.7496340868433892
1,0.7909822735404131
2,0.5210196779964222
3,0.7799235648072858
4,0.7269474711335177
5,0.7875264270613108
6,0.7572369490974142
7,0.821149780452106
8,0.7299154334038055
9,0.7077980159375508
10,0.7032037729712148
11,0.6889331598633924
12,0.6949503984387705
13,0.730809887786632
14,0.6390063424947146
15,0.8137095462676858
16,0.759595056106684
17,0.7854935761912506
18,0.5010570824524313
19,0.7221092860627745
20,0.7385347210928607
21,0.6050170759473086
22,0.5908684338916896
23,0.7904943893315987
