%GUI Data Logging
%Number of channels = 8
%Sample rate = 250Hz
%Board = MiniKit:2.0.0
Timestamp,ExG Channel 0,ExG Channel 1,ExG Channel 2,ExG Channel 3,ExG Channel 4,ExG Channel 5,ExG Channel 6,ExG Channel 7
1700061766798,13177.978992462158,0,0,0,0,0,0,0
1700061766802.0,14494.056701660156,0,0,0,0,0,0,0
1700061766806.0,14563.658237457275,0,0,0,0,0,0,0
1700061766810.0,14658.136367797852,0,0,0,0,0,0,0
1700061766814.0,14713.18244934082,0,0,0,0,0,0,0
1700061766818.0,14692.80481338501,0,0,0,0,0,0,0
1700061766822.0,14674.015045166016,0,0,0,0,0,0,0
1700061766826.0,14748.115539550781,0,0,0,0,0,0,0
1700061766830.0,14754.467010498047,0,0,0,0,0,0,0
1700061766834.0,14762.670993804932,0,0,0,0,0,0,0
1700061766838.0,14784.371852874756,0,0,0,0,0,0,0
1700061766842.0,14776.697158813477,0,0,0,0,0,0,0
1700061766846.0,14821.686744689941,0,0,0,0,0,0,0
1700061766850.0,14715.299606323242,0,0,0,0,0,0,0
1700061766854.0,14749.703407287598,0,0,0,0,0,0,0
1700061766858.0,14729.59041595459,0,0,0,0,0,0,0
1700061766862.0,14761.083126068115,0,0,0,0,0,0,0
1700061766866.0,14807.660579681396,0,0,0,0,0,0,0
1700061766870.0,14712.917804718018,0,0,0,0,0,0,0
1700061766874.0,14724.82681274414,0,0,0,0,0,0,0
1700061766878.0,14713.976383209229,0,0,0,0,0,0,0
1700061766882.0,14659.98888015747,0,0,0,0,0,0,0
1700061766886.0,14688.835144042969,0,0,0,0,0,0,0
1700061766890.0,14748.115539550781,0,0,0,0,0,0,0
1700061766894.0,14698.891639709473,0,0,0,0,0,0,0
1700061766898.0,14743.351936340332,0,0,0,0,0,0,0
1700061766902.0,14746.792316436768,0,0,0,0,0,0,0
1700061766906.0,14698.891639709473,0,0,0,0,0,0,0
1700061766910.0,14704.978466033936,0,0,0,0,0,0,0
1700061766914.0,14715.564250946045,0,0,0,0,0,0,0
