,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
37,0.7497959,16.33635,144.0,0.14176413,1,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
38,0.5587755,19.956253,144.0,0.17166881,2,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
39,0.670068,12.859763,144.0,0.11089618,2,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
40,0.9557143,25.143621,144.0,0.21722384,3,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
41,0.95054424,21.021975,144.0,0.1822121,3,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
42,0.56462586,16.908722,144.0,0.14605168,4,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
43,0.5713605,12.83189,144.0,0.11143297,4,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
44,0.6137415,19.633274,144.0,0.16949432,5,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
45,0.6319048,12.567267,144.0,0.10410205,5,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
46,0.58993196,16.15754,144.0,0.13318723,6,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
47,0.70272106,18.012018,144.0,0.14841145,6,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
48,0.6157143,18.623585,144.0,0.15306044,7,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
49,0.67959183,15.596232,144.0,0.12879333,7,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
50,0.99707484,31.081985,144.0,0.2559735,8,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
51,0.98755103,30.584665,144.0,0.25205413,8,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
52,0.9604762,12.136914,144.0,0.10005464,9,session_E,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
53,0.9590476,28.54165,144.0,0.23501971,9,session_T,22,2,BNCI2014-001,EEGITNet,LeftRightImagery,WithinSession,Deep Learning
54,0.5601361,29.635021,144.0,0.25140017,1,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
55,0.5070068,29.383965,144.0,0.2505316,1,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
56,0.5561905,29.776575,144.0,0.2555471,2,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
57,0.61163265,29.453514,144.0,0.2527968,2,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
58,0.6353741,45.78957,144.0,0.39162672,3,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
59,0.7385034,46.07406,144.0,0.3938444,3,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
60,0.60183674,30.60798,144.0,0.26232126,4,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
61,0.66367346,30.576494,144.0,0.26144078,4,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
62,0.5490476,30.073734,144.0,0.25690913,5,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
63,0.6072789,29.497911,144.0,0.24992463,5,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
64,0.5391837,40.71134,144.0,0.3325796,6,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
65,0.60918367,31.126844,144.0,0.2532365,6,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
66,0.5351701,32.75335,144.0,0.26743245,7,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
67,0.71238095,28.95284,144.0,0.2366615,7,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
68,0.89619046,77.53899,144.0,0.6304092,8,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
69,0.7629932,39.375797,144.0,0.3205139,8,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
70,0.9617687,56.202244,144.0,0.45781657,9,session_E,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
71,0.8831973,49.15782,144.0,0.39985698,9,session_T,22,2,BNCI2014-001,EEGNeX,LeftRightImagery,WithinSession,Deep Learning
72,0.9591156,24.722534,144.0,0.21212876,1,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
73,0.94068027,26.649952,144.0,0.22973464,1,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
74,0.66993195,15.407286,144.0,0.13288024,2,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
75,0.6708163,35.591206,144.0,0.30621794,2,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
76,0.99904764,34.509315,144.0,0.29777503,3,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
77,0.99319726,19.280756,144.0,0.16555922,3,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
78,0.8759864,42.487488,144.0,0.3668039,4,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
79,0.8487075,18.833782,144.0,0.16221645,4,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
80,0.59435374,15.888512,144.0,0.13720734,5,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
81,0.764966,32.771355,144.0,0.26869246,5,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
