;score;time;samples;subject;session;channels;n_sessions;dataset;pipeline;paradigm;evaluation;imputed;pipeline_category
45;0.92477524;14.420474;576.0;2;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
46;0.9326425;13.252571;576.0;2;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
47;0.89844847;12.845665;576.0;2;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
48;0.9492489;16.472242;576.0;2;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
49;0.93958336;13.288397;576.0;2;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
50;0.9344792;10.550143;576.0;2;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
51;0.9023794;9.937529;576.0;2;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
52;0.9554496;14.599161;576.0;2;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
53;0.945159;15.313821;576.0;2;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
54;0.93128836;11.289182;576.0;2;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
55;0.85767543;13.244328;576.0;2;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
56;0.74371165;13.291005;576.0;3;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
57;0.7339693;13.835916;576.0;3;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
58;0.7780099;10.912018;576.0;3;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
59;0.62011516;10.947036;576.0;3;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
60;0.93945724;13.369178;576.0;3;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
61;0.9425384;16.08184;576.0;3;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
62;0.9497094;10.747438;576.0;3;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
63;0.9279331;7.8135567;576.0;3;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
64;0.96180373;16.443064;576.0;3;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
