,Score,time,subject,nb_cal,clf,score_01
45,0.71,1.4757575757575756,2,3,Xdawn+RG+LDA,0.6558043384879726
46,0.67,1.4401041666666665,2,3,Xdawn+RG+SVC,0.5848475085910653
47,0.92,1.423684210526316,2,3,Xdawn+LDA,0.6914035652920962
48,0.84,1.4272727272727272,2,4,Xdawn+RG+MDM,0.7438905810684162
49,0.82,1.384408602150538,2,4,Xdawn+RG+LDA,0.6728385660731021
50,0.77,1.420430107526882,2,4,Xdawn+RG+SVC,0.6120958294283037
51,0.91,1.368095238095238,2,4,Xdawn+LDA,0.6916178537956889
52,0.8,1.4661616161616164,2,5,Xdawn+RG+MDM,0.7397100515463917
53,0.88,1.4194444444444447,2,5,Xdawn+RG+LDA,0.6751288659793815
54,0.95,1.4438095238095237,2,5,Xdawn+RG+SVC,0.6312822164948454
55,0.88,1.4088235294117648,2,5,Xdawn+LDA,0.7157474226804124
56,0.83,1.4401234567901238,2,6,Xdawn+RG+MDM,0.7362113402061856
57,0.89,1.3645833333333333,2,6,Xdawn+RG+LDA,0.6849298396334479
58,0.81,1.3787356321839082,2,6,Xdawn+RG+SVC,0.6329610538373425
59,0.92,1.404761904761905,2,6,Xdawn+LDA,0.7221291523482245
60,0.88,1.5091954022988507,2,7,Xdawn+RG+MDM,0.747752899484536
61,1.0,1.4179012345679012,2,7,Xdawn+RG+LDA,0.6767880154639175
62,0.84,1.3961111111111115,2,7,Xdawn+RG+SVC,0.6314030283505154
63,0.94,1.4500000000000004,2,7,Xdawn+LDA,0.7229784149484536
64,0.89,1.4551282051282055,2,8,Xdawn+RG+MDM,0.739138438880707
65,1.0,1.362878787878788,2,8,Xdawn+RG+LDA,0.6754326215022091
66,0.86,1.4277777777777776,2,8,Xdawn+RG+SVC,0.6273379970544919
67,0.96,1.4226666666666667,2,8,Xdawn+LDA,0.7333026509572902
68,0.79,1.4126984126984128,2,9,Xdawn+RG+MDM,0.7433526632302405
69,0.83,1.3675925925925927,2,9,Xdawn+RG+LDA,0.6781142611683848
70,0.83,1.3975,2,9,Xdawn+RG+SVC,0.6353307560137457
71,0.88,1.387301587301587,2,9,Xdawn+LDA,0.7439432989690722
72,0.61,1.4528571428571426,3,1,Xdawn+RG+MDM,0.6647367452135493
73,0.61,1.4409523809523812,3,1,Xdawn+RG+LDA,0.6178571428571429
74,0.36,1.3699275362318841,3,1,Xdawn+RG+SVC,0.5234582106038291
75,0.68,1.398717948717949,3,1,Xdawn+LDA,0.6750552282768778
76,0.73,1.4824786324786325,3,2,Xdawn+RG+MDM,0.7484189135606661
77,0.65,1.416666666666667,3,2,Xdawn+RG+LDA,0.7123562648691515
78,0.62,1.4081196581196582,3,2,Xdawn+RG+SVC,0.5952468279143537
79,0.85,1.4279166666666665,3,2,Xdawn+LDA,0.7485923869944489
80,0.81,1.4833333333333334,3,3,Xdawn+RG+MDM,0.7616731099656358
81,0.75,1.4473958333333332,3,3,Xdawn+RG+LDA,0.6990871993127148
82,0.73,1.4552380952380954,3,3,Xdawn+RG+SVC,0.6401524914089347
83,0.88,1.4170833333333335,3,3,Xdawn+LDA,0.7969877577319588
84,0.89,1.4939814814814816,3,4,Xdawn+RG+MDM,0.7845770852858482
85,0.8,1.430092592592593,3,4,Xdawn+RG+LDA,0.710994611059044
86,0.8,1.4226851851851852,3,4,Xdawn+RG+SVC,0.6493556701030928
87,0.89,1.410964912280702,3,4,Xdawn+LDA,0.7797270384254921
