,0
0,158.82648539543152
1,158.22068786621094
2,157.58716583251953
3,159.28504848480225
4,158.13329768180847
5,156.2648937702179
6,158.01652216911316
7,157.5028841495514
8,159.73065996170044
9,157.65323972702026
