;index_participant;score;classifier;TF_method
116;9;0.7194294751640112;SPDNet;RPAorg
117;10;0.9389643861293346;SPDNet;RPAorg
118;11;0.7928186504217432;SPDNet;RPAorg
119;12;0.72427366447985;SPDNet;RPAorg
120;1;0.8075816151202748;SPDNet;RPApyriemorg
121;2;0.6738445017182131;SPDNet;RPApyriemorg
122;3;0.7618256013745704;SPDNet;RPApyriemorg
123;4;0.6172508591065292;SPDNet;RPApyriemorg
124;5;0.796958762886598;SPDNet;RPApyriemorg
125;6;0.7949226804123711;SPDNet;RPApyriemorg
126;7;0.7676632302405498;SPDNet;RPApyriemorg
127;8;0.841786941580756;SPDNet;RPApyriemorg
128;9;0.5787972508591065;SPDNet;RPApyriemorg
129;10;0.8097766323024055;SPDNet;RPApyriemorg
130;11;0.750893470790378;SPDNet;RPApyriemorg
131;12;0.6472938144329896;SPDNet;RPApyriemorg
132;1;0.7760609965635739;SPDNet;RPApyriemrct
133;2;0.6981013745704467;SPDNet;RPApyriemrct
134;3;0.7394372852233677;SPDNet;RPApyriemrct
135;4;0.7004939862542955;SPDNet;RPApyriemrct
136;5;0.7337886597938145;SPDNet;RPApyriemrct
137;6;0.7931829896907217;SPDNet;RPApyriemrct
138;7;0.7545017182130584;SPDNet;RPApyriemrct
139;8;0.7684278350515463;SPDNet;RPApyriemrct
140;9;0.6169029209621993;SPDNet;RPApyriemrct
141;10;0.8665292096219931;SPDNet;RPApyriemrct
142;11;0.7254853951890035;SPDNet;RPApyriemrct
143;12;0.6362886597938144;SPDNet;RPApyriemrct
144;1;0.7241709621993127;SPDNet;RPApyriemrot
145;2;0.726520618556701;SPDNet;RPApyriemrot
146;3;0.7247079037800687;SPDNet;RPApyriemrot
147;4;0.7151374570446736;SPDNet;RPApyriemrot
148;5;0.7885309278350515;SPDNet;RPApyriemrot
149;6;0.8236426116838488;SPDNet;RPApyriemrot
150;7;0.794372852233677;SPDNet;RPApyriemrot
151;8;0.8492353951890035;SPDNet;RPApyriemrot
152;9;0.5980713058419244;SPDNet;RPApyriemrot
153;10;0.8845103092783505;SPDNet;RPApyriemrot
154;11;0.7660567010309278;SPDNet;RPApyriemrot
155;12;0.6656056701030928;SPDNet;RPApyriemrot
156;1;0.8010660731021555;SPDNet;RPArct
157;2;0.7659266635426429;SPDNet;RPArct
158;3;0.8025011715089034;SPDNet;RPArct
159;4;0.7296743205248359;SPDNet;RPArct
160;5;0.7230142924086223;SPDNet;RPArct
161;6;0.7821813495782568;SPDNet;RPArct
162;7;0.7152413308341143;SPDNet;RPArct
163;8;0.7354967197750703;SPDNet;RPArct
164;9;0.7426136363636364;SPDNet;RPArct
165;10;0.8394447047797564;SPDNet;RPArct
166;11;0.7865276476101218;SPDNet;RPArct
167;12;0.7263238050609184;SPDNet;RPArct
168;1;0.698441893158388;SPDNet;RPArpa
169;2;0.6084875820056233;SPDNet;RPArpa
170;3;0.7135953608247423;SPDNet;RPArpa
171;4;0.6683341143392689;SPDNet;RPArpa
172;5;0.7607075913776945;SPDNet;RPArpa
173;6;0.804762183692596;SPDNet;RPArpa
174;7;0.727319587628866;SPDNet;RPArpa
175;8;0.6294283036551078;SPDNet;RPArpa
176;9;0.5708470009372071;SPDNet;RPArpa
177;10;0.8247071227741332;SPDNet;RPArpa
178;11;0.6581244142455482;SPDNet;RPArpa
179;12;0.6547563261480787;SPDNet;RPArpa
180;1;0.8207799145299145;SPDNet;WO
181;2;0.7654914529914529;SPDNet;WO
182;3;0.8373397435897436;SPDNet;WO
183;4;0.7313034188034188;SPDNet;WO
184;5;0.8667200854700855;SPDNet;WO
185;6;0.8279914529914529;SPDNet;WO
186;7;0.7783119658119658;SPDNet;WO
187;8;0.8843482905982906;SPDNet;WO
188;9;0.6525106837606838;SPDNet;WO
189;10;0.9276175213675214;SPDNet;WO
190;11;0.8047542735042735;SPDNet;WO
191;12;0.6992521367521367;SPDNet;WO
192;1;0.5165463917525773;TSMNet;TSMNet
193;2;0.5000128865979382;TSMNet;TSMNet
194;3;0.5001030927835052;TSMNet;TSMNet
195;4;0.5308204467353952;TSMNet;TSMNet
196;5;0.5008977663230241;TSMNet;TSMNet
197;6;0.546774054982818;TSMNet;TSMNet
198;7;0.5103393470790378;TSMNet;TSMNet
199;8;0.5;TSMNet;TSMNet
200;9;0.5135738831615121;TSMNet;TSMNet
201;10;0.5;TSMNet;TSMNet
202;11;0.5164089347079037;TSMNet;TSMNet
203;12;0.5118256013745704;TSMNet;TSMNet
