,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
38,0.61,21.41657,100.0,0.152946,20,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
39,0.54,14.451253,100.0,0.10320301,20,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
40,0.87,15.125222,100.0,0.10801161,21,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
41,0.97,15.05252,100.0,0.107488774,21,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
42,0.66,14.535818,100.0,0.10380018,22,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
43,0.46,14.977752,100.0,0.10696311,22,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
44,0.41,14.617881,100.0,0.10439301,23,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
45,0.33,14.596071,100.0,0.104237475,23,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
46,0.72,15.072858,100.0,0.107632615,24,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
47,0.73,14.257793,100.0,0.10182144,24,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
48,0.87,15.603084,100.0,0.11142855,25,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
49,0.75,16.010687,100.0,0.11433952,25,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
50,0.83,14.3838,100.0,0.10272134,26,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
51,0.82,15.220543,100.0,0.108696446,26,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
52,0.89,15.913848,100.0,0.113647826,27,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
53,0.92,15.730755,100.0,0.11234018,27,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
54,0.88,14.332066,100.0,0.10235185,28,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
55,0.85,14.230517,100.0,0.10162661,28,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
56,0.6,15.96158,100.0,0.1139888,29,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
57,0.46,15.365429,100.0,0.10973116,29,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
58,0.96,16.261997,100.0,0.11613437,30,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
59,0.52,28.7972,100.0,0.20565563,30,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
