,std_zscore,time,session,dataset,pipeline,paradigm
54,0.11379223163130246,2.0496247785714283,session_0,BNCI2014-002,TS + EL,MotorImagery_rf
55,0.155240156265533,1.055894770142857,session_0,BNCI2014-002,DLCSPauto + shLDA,MotorImagery_rf
56,0.11498541537050552,2.2501451642857146,session_0,BNCI2014-002,TS + SVM,MotorImagery_rf
57,0.1101055746153856,0.7383969874999999,session_0,BNCI2014-002,TS + LR,MotorImagery_rf
58,0.1411331840811242,0.5031258411428572,session_0,BNCI2014-002,MDM,MotorImagery_rf
59,0.14789513842593266,0.32359593000000003,session_0,BNCI2014-002,CSP + LDA,MotorImagery_rf
60,0.15298506373956994,8.607374964285714,session_0,BNCI2014-002,CSP + SVM,MotorImagery_rf
61,0.11260265134712404,0.26382243750000006,session_0,BNCI2014-002,FgMDM,MotorImagery_rf
62,0.16833768728972603,1.506631742857143,session_0,BNCI2014-002,FBCSP + SVM,MotorImagery_rf
63,0.10711003022321665,363.76383,session_0,BNCI2014-002,ACM + TS + SVM,MotorImagery_rf
64,0.1443074457153506,16.834319583333333,session_A,BNCI2015-001,"EEGNet-8,2",MotorImagery_rf
65,0.19857990187971075,23.387951125,session_A,BNCI2015-001,EEGTCNet,MotorImagery_rf
66,0.1772090730057452,19.663474416666666,session_A,BNCI2015-001,EEGITNet,MotorImagery_rf
67,0.20169512109865223,39.63151416666667,session_A,BNCI2015-001,EEGNeX,MotorImagery_rf
68,0.1423154994682198,27.355773166666665,session_A,BNCI2015-001,ShallowConvNet,MotorImagery_rf
69,0.16755572637475635,15.564697375000002,session_A,BNCI2015-001,DeepConvNet,MotorImagery_rf
70,0.09676281138261028,4.013885125000001,session_A,BNCI2015-001,TS + EL,MotorImagery_rf
71,0.11435276802751893,2.4594578049999996,session_A,BNCI2015-001,FgMDM,MotorImagery_rf
72,0.10009377547524578,4.593159165,session_A,BNCI2015-001,TS + LR,MotorImagery_rf
73,0.10569816663762698,4.779661825000001,session_A,BNCI2015-001,TS + SVM,MotorImagery_rf
74,0.12744728621625837,1.76125408625,session_A,BNCI2015-001,CSP + LDA,MotorImagery_rf
75,0.143476835867521,1.8316663021666664,session_A,BNCI2015-001,MDM,MotorImagery_rf
76,0.11882762813560387,0.5363416114166667,session_A,BNCI2015-001,DLCSPauto + shLDA,MotorImagery_rf
77,0.10659159956217099,10.596152833333333,session_A,BNCI2015-001,CSP + SVM,MotorImagery_rf
