,0
0,0.8695773703041145
1,0.7783989266547406
2,0.7585532200357781
3,0.8119409660107335
4,0.7997540250447227
5,0.8369297853309481
6,0.6250559033989267
7,0.815574686940966
8,0.6657535778175313
9,0.6981216457960644
10,0.76621198568873
11,0.7602862254025045
12,0.7543604651162791
13,0.7900268336314848
14,0.639255366726297
15,0.8436381932021466
16,0.850234794275492
17,0.7578264758497317
18,0.7298747763864043
19,0.7306015205724508
20,0.8666703935599285
21,0.7665474060822899
22,0.664188282647585
23,0.9349843470483006
