,0
0,0.09273865669214507
1,0.18344446251422997
2,0.22341031061961295
3,0.16795413888437144
4,0.19084403968124897
5,0.16356318100504147
6,0.216823873800618
7,0.127297121483168
8,0.26569360871686454
9,0.33867295495202476
10,0.191047324768255
11,0.28903073670515533
12,0.27045047975280534
13,0.19633273703041146
14,0.30700113839648724
15,0.14839811351439258
16,0.08806309969100667
17,0.2134086843389169
18,0.21389656854773134
19,0.26780777362172714
20,0.1837290616360384
21,0.20812327207676046
22,0.32212554886973493
23,0.16303463977882582
