,0
0,0.10392441860465115
1,0.20259391771019677
2,0.2482669946332737
3,0.17520125223613597
4,0.17039355992844363
5,0.1431686046511628
6,0.27839892665474064
7,0.13176431127012522
8,0.2696779964221825
9,0.28460420393559926
10,0.2207066189624329
11,0.31814624329159213
12,0.2705165474060823
13,0.22361359570661896
14,0.3215563506261181
15,0.16189624329159213
16,0.12371422182468694
17,0.2918716457960644
18,0.2381484794275492
19,0.273311717352415
20,0.09291144901610018
21,0.23132826475849733
22,0.36465787119856885
23,0.16172853309481217
