,0
0,0.5532759391771019
1,0.8163014311270125
2,0.7507826475849732
3,0.8518000894454383
4,0.7274709302325582
5,0.6646355098389982
6,0.5950916815742398
7,0.8174754025044723
8,0.6440630590339893
9,0.6549083184257602
10,0.7606216457960644
11,0.6451252236135957
12,0.6730769230769231
13,0.7920393559928444
14,0.5940295169946332
15,0.6341681574239714
16,0.8911560822898033
17,0.730098389982111
18,0.6318202146690519
19,0.7060599284436493
20,0.8742173524150267
21,0.7521243291592129
22,0.670505366726297
23,0.848278175313059
