,0
0,0.8477394698324932
1,0.8271670190274841
2,0.7788258253374533
3,0.756993006993007
4,0.7959424296633599
5,0.8103756708407871
6,0.7627256464465766
7,0.8201740120344772
8,0.727801268498943
9,0.691250609855261
10,0.8145226866157099
11,0.7275979834119368
12,0.7391039193364775
13,0.7723613595706619
14,0.6964140510652138
15,0.726215644820296
16,0.8717677671166044
17,0.764595869247032
18,0.7574402341844202
19,0.7255651325418767
20,0.8609530004878843
21,0.7783379411286389
22,0.674255976581558
23,0.844120995283786
