,0
0,0.9051580202742993
1,0.7600178890876566
2,0.7706320810971974
3,0.8367024448419798
4,0.788819320214669
5,0.8129695885509839
6,0.7375670840787121
7,0.8196481812760883
8,0.6954680977936791
9,0.6493738819320214
10,0.8010137149672033
11,0.7146690518783543
12,0.7365831842576029
13,0.7712283840190817
14,0.7028920691711389
15,0.8200954084675015
16,0.8613893858079904
17,0.7320214669051879
18,0.7903398926654741
19,0.6689922480620155
20,0.852623732856291
21,0.77984496124031
22,0.6687239117471675
23,0.8909660107334526
