,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.75,0.95,1.0,1.0,0.91,0.91,1.0,0.93,0.76,0.96,0.87,0.89,1.0,0.75,0.98,1.0,0.95,0.62,0.84,1.0,0.96,0.75,1.0
1,1.0,0.76,0.89,0.96,0.98,0.95,0.93,1.0,0.84,0.84,0.91,0.89,0.85,0.98,0.73,1.0,1.0,0.95,0.73,0.89,1.0,0.98,0.73,1.0
2,1.0,0.78,0.96,1.0,0.98,0.98,0.95,0.98,0.89,0.76,0.91,0.75,0.75,0.98,0.76,1.0,1.0,0.96,0.62,0.85,1.0,1.0,0.67,1.0
3,1.0,0.84,0.93,1.0,1.0,0.93,0.87,1.0,0.85,0.75,0.95,0.95,0.87,0.98,0.73,0.96,1.0,0.95,0.8,0.85,1.0,1.0,0.8,1.0
4,1.0,0.75,0.98,1.0,1.0,0.96,0.91,1.0,0.84,0.89,0.95,0.93,0.91,0.98,0.73,1.0,1.0,0.95,0.69,0.91,1.0,0.98,0.69,1.0
