,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,1.0,0.98,1.0,1.0,1.0,0.92,1.0,0.9,0.6,0.98,1.0,0.92,1.0,0.8,1.0,1.0,0.95,0.82,0.78,1.0,1.0,0.8,1.0
1,1.0,0.98,0.95,0.98,1.0,1.0,0.98,1.0,0.9,0.75,0.98,0.95,0.92,1.0,0.78,1.0,0.95,0.95,0.85,0.9,1.0,0.98,0.82,1.0
2,1.0,1.0,0.95,1.0,0.9,0.98,0.9,1.0,0.92,0.78,0.95,0.92,0.9,1.0,0.7,1.0,1.0,1.0,0.72,0.9,1.0,0.98,0.88,1.0
3,1.0,0.98,0.9,1.0,0.98,1.0,0.95,1.0,0.88,0.72,0.95,0.95,0.88,1.0,0.62,1.0,1.0,0.98,0.82,0.9,1.0,0.95,0.8,1.0
4,1.0,1.0,0.95,1.0,0.95,0.98,0.95,1.0,0.78,0.7,0.95,0.98,0.95,0.98,0.7,1.0,1.0,0.98,0.75,0.82,1.0,1.0,0.72,1.0
