;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
35;8;burst100;Temporal Norm;0.7753432393074036;0.793957531452179;1209.6180560588837;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user8_Temporal Norm_burst100.csv
36;9;burst100;Global Norm;0.7648239135742188;0.7785338163375854;1308.2677006721497;9806;7836;40644;214;0.8623931623931624;0.9786427145708583;0.5558326720326494;0.7375375210829653;20;10;0.93;163.0;40;30;1.0;101.59924741298208;./results/test_norm/user9_Global Norm_burst100.csv
37;9;burst100;Electrode Norm;0.7647180557250977;0.7742242813110352;1357.956734418869;9794;7609;40871;226;0.8660683760683761;0.9774451097804391;0.5627765327817043;0.74167591970258;20;10;0.93;163.0;40;30;1.0;101.2658227848101;./results/test_norm/user9_Electrode Norm_burst100.csv
38;9;burst100;Normed Electrode Norm;0.7550303339958191;0.7693249583244324;1247.3946554660797;9762;8401;40079;258;0.8519829059829059;0.974251497005988;0.5374662775973132;0.7236209819646044;20;10;0.93;160.0;40;30;1.0;100.49680624556419;./results/test_norm/user9_Normed Electrode Norm_burst100.csv
39;9;burst100;Temporal Norm;0.755927562713623;0.7714117169380188;1249.1941356658936;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user9_Temporal Norm_burst100.csv
40;10;burst100;Global Norm;0.7803282141685486;0.7961803674697876;1270.5493710041046;7315;11768;36712;2705;0.7525982905982906;0.7300399201596807;0.383325472934025;0.5290017936225996;20;10;0.68;57.0;40;30;0.87;57.0;./results/test_norm/user10_Global Norm_burst100.csv
41;10;burst100;Electrode Norm;0.7794411182403564;0.7959989309310913;1273.5359046459198;7555;12525;35955;2465;0.7437606837606837;0.7539920159680639;0.3762450199203187;0.5326215739788105;5;30;0.83;62.0;40;50;0.87;48.0;./results/test_norm/user10_Electrode Norm_burst100.csv
42;10;burst100;Normed Electrode Norm;0.7679539918899536;0.7825258374214172;1215.1508619785309;8786;18447;30033;1234;0.6635726495726496;0.8768463073852295;0.3226232879227408;0.5318750216841707;20;10;0.77;81.0;5;60;0.88;54.0;./results/test_norm/user10_Normed Electrode Norm_burst100.csv
43;10;burst100;Temporal Norm;0.7659428715705872;0.7842496633529663;1264.3422582149506;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user10_Temporal Norm_burst100.csv
44;11;burst100;Global Norm;0.7842446565628052;0.7966793775558472;1250.5728297233582;6707;12388;36092;3313;0.7316068376068376;0.6693612774451098;0.35124378109452736;0.4848803831957768;10;20;0.65;36.0;40;50;0.73;28.0;./results/test_norm/user11_Global Norm_burst100.csv
45;11;burst100;Electrode Norm;0.785761833190918;0.8008074760437012;1295.9524009227753;6698;12600;35880;3322;0.7278290598290599;0.6684630738522954;0.34708259923308116;0.48167613721668817;5;50;0.75;35.0;40;50;0.77;33.0;./results/test_norm/user11_Electrode Norm_burst100.csv
46;11;burst100;Normed Electrode Norm;0.7730599641799927;0.7899655103683472;1168.2097470760345;5841;12595;35885;4179;0.7132649572649573;0.582934131736527;0.3168257756563246;0.429754067396658;5;60;0.75;34.0;5;60;0.75;34.0;./results/test_norm/user11_Normed Electrode Norm_burst100.csv
47;11;burst100;Temporal Norm;0.774012565612793;0.790645956993103;1188.8790609836578;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user11_Temporal Norm_burst100.csv
