,Participant,CodeType,ModelType,CnnTrainingAccuracy,CnnTrainingVALAccuracy,CnnTrainingTime,CnnTestTruePositive,CnnTestFalsePositive,CnnTestTrueNegatives,CnnTestFalseNegatives,CnnTestAccuracy,CnnTestSensitivity,CnnTestPrecision,CnnTestFowlkesMallows,ClassWindowResultBestMinLenByITR,ClassWindowResultBestConsecutiveByITR,ClassWindowResultBestAccByITR,ClassWindowResultBestITRByITR,ClassWindowResultBestMinLenByAccuracy,ClassWindowResultBestConsecutiveByAccuracy,ClassWindowResultBestAccByAccuracy,ClassWindowResultBestITRByAccuracy,ClassWindowResultFile
25,6,burst100,Electrode Norm,0.7851619720458984,0.8008528351783752,964.4626045227051,5363,12117,36363,4657,0.7132649572649573,0.5352295409181637,0.30680778032036615,0.4052315232197396,30,10,0.53,22.0,10,50,0.65,22.0,./results/test_norm/user6_Electrode Norm_burst100.csv
26,6,burst100,Normed Electrode Norm,0.7742747068405151,0.7922337055206299,922.6212282180786,5828,13303,35177,4192,0.7009401709401709,0.5816367265469062,0.3046364539229523,0.4209367527866905,20,10,0.55,29.0,30,20,0.6,23.0,./results/test_norm/user6_Normed Electrode Norm_burst100.csv
27,6,burst100,BaseArchi_XTestNormByXTest,0.7747887969017029,0.7930956482887268,1372.5937163829803,6453,14902,33578,3567,0.6842905982905982,0.6440119760479042,0.30217747600093653,0.44114160247762996,20,20,0.7,43.0,20,20,0.7,43.0,./results/test_norm/user6_BaseArchi_XTestNormByXTest_burst100.csv
28,7,burst100,Global Norm,0.7690931558609009,0.7844311594963074,1232.010389328003,3858,14784,33696,6162,0.641948717948718,0.3850299401197605,0.20695204377212745,0.28228130122493816,20,10,0.2,1.0,20,60,0.33,1.0,./results/test_norm/user7_Global Norm_burst100.csv
29,7,burst100,Electrode Norm,0.7685840725898743,0.7834331393241882,1087.8042652606964,3632,12551,35929,6388,0.6762564102564103,0.3624750499001996,0.2244330470246555,0.28522163297954073,40,10,0.3,1.0,5,50,0.32,1.0,./results/test_norm/user7_Electrode Norm_burst100.csv
30,7,burst100,Normed Electrode Norm,0.7612048387527466,0.7769007682800293,1057.4952020645142,4806,13445,35035,5214,0.681042735042735,0.47964071856287427,0.2633280368199003,0.35539112087677144,40,10,0.63,30.0,40,10,0.63,30.0,./results/test_norm/user7_Normed Electrode Norm_burst100.csv
31,7,burst100,BaseArchi_XTestNormByXTest,0.7630345225334167,0.7828434109687805,1363.0762898921967,7379,27084,21396,2641,0.49188034188034185,0.7364271457085828,0.2141136871427328,0.39708831697704633,5,60,0.62,18.0,5,60,0.62,18.0,./results/test_norm/user7_BaseArchi_XTestNormByXTest_burst100.csv
32,8,burst100,Global Norm,0.7855702638626099,0.7985392808914185,1235.1466507911682,6090,10878,37602,3930,0.7468717948717949,0.6077844311377245,0.3589108910891089,0.4670550842991947,30,20,0.82,65.0,40,30,0.83,51.0,./results/test_norm/user8_Global Norm_burst100.csv
33,8,burst100,Electrode Norm,0.7845369577407837,0.7964979410171509,1030.6359479427338,5638,9833,38647,4382,0.757008547008547,0.5626746506986028,0.364423760584319,0.4528266911226115,20,20,0.77,62.0,5,50,0.87,56.0,./results/test_norm/user8_Electrode Norm_burst100.csv
34,8,burst100,Normed Electrode Norm,0.776598334312439,0.792324423789978,1771.8862187862396,5997,9560,38920,4023,0.7678119658119658,0.598502994011976,0.3854856334768914,0.4803272902766641,10,20,0.78,69.0,40,40,0.87,53.0,./results/test_norm/user8_Normed Electrode Norm_burst100.csv
35,8,burst100,BaseArchi_XTestNormByXTest,0.7758775353431702,0.7925966382026672,1678.329844236374,6339,12039,36441,3681,0.7312820512820513,0.6326347305389222,0.3449232778321907,0.4671300085928646,20,30,0.85,62.0,5,50,0.9,59.0,./results/test_norm/user8_BaseArchi_XTestNormByXTest_burst100.csv
36,9,burst100,Global Norm,0.7650960683822632,0.7805298566818237,1196.109045267105,9791,7461,41019,229,0.8685470085470085,0.9771457085828343,0.5675284025040574,0.7446864729573858,20,10,0.92,158.0,40,30,1.0,101.57535857042085,./results/test_norm/user9_Global Norm_burst100.csv
37,9,burst100,Electrode Norm,0.7642694115638733,0.7827073335647583,972.122631072998,9825,7646,40834,195,0.865965811965812,0.9805389221556886,0.5623604830862572,0.7425741322914171,20,10,0.92,158.0,40,30,1.0,101.55148095909726,./results/test_norm/user9_Electrode Norm_burst100.csv
38,9,burst100,Normed Electrode Norm,0.7537299394607544,0.7736799120903015,1486.9090495109558,9762,7362,41118,258,0.8697435897435898,0.974251497005988,0.5700770847932726,0.7452505976305255,20,10,0.93,161.0,40,30,1.0,101.17096018735359,./results/test_norm/user9_Normed Electrode Norm_burst100.csv
39,9,burst100,BaseArchi_XTestNormByXTest,0.7534425854682922,0.7721828818321228,1277.7378668785095,9819,7727,40753,201,0.8644786324786324,0.979940119760479,0.5596147270033056,0.7405328639563183,20,10,0.95,175.0,40,30,1.0,101.47991543340378,./results/test_norm/user9_BaseArchi_XTestNormByXTest_burst100.csv
40,10,burst100,Global Norm,0.779854416847229,0.793957531452179,1153.2035756111145,7240,11787,36693,2780,0.750991452991453,0.7225548902195609,0.3805119041362275,0.5243479161018836,30,10,0.72,59.0,40,40,0.87,52.0,./results/test_norm/user10_Global Norm_burst100.csv
41,10,burst100,Electrode Norm,0.7778886556625366,0.7920976281166077,1057.87477850914,7380,11949,36531,2640,0.7506153846153846,0.7365269461077845,0.38180971597082103,0.5302953366740739,20,10,0.7,63.0,5,50,0.88,60.0,./results/test_norm/user10_Electrode Norm_burst100.csv
42,10,burst100,Normed Electrode Norm,0.7662250995635986,0.7851116061210632,1017.8402125835419,7818,12466,36014,2202,0.7492649572649572,0.7802395209580838,0.38542693748767504,0.5483842895905433,20,10,0.73,70.0,40,50,0.92,57.0,./results/test_norm/user10_Normed Electrode Norm_burst100.csv
43,10,burst100,BaseArchi_XTestNormByXTest,0.7660335898399353,0.7826165556907654,1379.7778141498566,8168,13197,35283,1852,0.7427521367521368,0.8151696606786427,0.3823075122864498,0.5582521697812212,20,10,0.73,73.0,40,40,0.88,55.0,./results/test_norm/user10_BaseArchi_XTestNormByXTest_burst100.csv
44,11,burst100,Global Norm,0.7842698693275452,0.7941389679908752,1706.88316988945,6581,12609,35871,3439,0.7256752136752137,0.6567864271457086,0.3429390307451798,0.4745921414561549,10,20,0.62,33.0,5,50,0.72,32.0,./results/test_norm/user11_Global Norm_burst100.csv
45,11,burst100,Electrode Norm,0.7833524942398071,0.7964979410171509,1890.5651450157166,6644,12564,35916,3376,0.7275213675213675,0.6630738522954092,0.3458975426905456,0.47891086449498704,30,20,0.7,40.0,40,50,0.78,35.0,./results/test_norm/user11_Electrode Norm_burst100.csv
46,11,burst100,Normed Electrode Norm,0.7713714241981506,0.7850208878517151,58315.22120666504,6043,11542,36938,3977,0.7347179487179487,0.6030938123752495,0.3436451521182826,0.455247476539176,20,10,0.55,30.0,30,60,0.72,27.0,./results/test_norm/user11_Normed Electrode Norm_burst100.csv
47,11,burst100,BaseArchi_XTestNormByXTest,0.7726415991783142,0.7854291200637817,1304.7302513122559,7081,13509,34971,2939,0.7188376068376069,0.706686626746507,0.34390480815930063,0.4929837003390688,30,20,0.75,49.0,40,50,0.8,37.0,./results/test_norm/user11_BaseArchi_XTestNormByXTest_burst100.csv
