,0
0,54.04610872268677
1,52.3015673160553
2,52.35784387588501
3,52.21763491630554
4,51.98480486869812
5,52.65221858024597
6,57.80097460746765
7,57.011228799819946
8,55.19428563117981
9,64.04234623908997
10,56.08138871192932
11,56.38916492462158
12,62.843384981155396
13,63.64442586898804
14,64.38798379898071
15,64.26453495025635
16,64.90598487854004
17,59.869189977645874
18,57.357481479644775
19,58.951693296432495
20,67.15876865386963
21,66.90242004394531
22,67.75176858901978
23,59.04216957092285
